stim_type	state_marker	cluster
BCR	pH3	Mature CD38lo B
BCR	pPLCgamma2	Mature CD38mid B
BCR	pP38	CD11bmid Monocyte
BCR	pERK1_2	Plasma cell
BCR	pPLCgamma2	Mature CD38lo B
BCR	pCREB	Mature CD38mid B
BCR	pSLP_76	Mature CD38lo B
BCR	pSLP_76	Immature B
BCR	pH3	CD11bmid Monocyte
BCR	pSTAT3	Immature B
BCR	pPLCgamma2	Immature B
BCR	pCREB	Mature CD38lo B
BCR	pH3	CD11b- Monocyte
BCR	pH3	CD11bhi Monocyte
Flt3L	pCREB	Plasmacytoid DC
Flt3L	pH3	CD11b- Monocyte
GCSF	pPLCgamma2	Platelet
GCSF	pSTAT3	CD11bhi Monocyte
GCSF	pH3	CD11b- Monocyte
GCSF	pSTAT3	CD11bmid Monocyte
GCSF	pP38	CD11b- Monocyte
GCSF	pCREB	HSC
GCSF	pSTAT3	Immature B
GCSF	pSrcFK	CD11bhi Monocyte
GCSF	pSTAT3	CD11b- Monocyte
GCSF	pCrkL	Platelet
GCSF	pSrcFK	CD11bmid Monocyte
GCSF	pSTAT5	MPP
GCSF	pP38	CD11bmid Monocyte
GCSF	pP38	CD11bhi Monocyte
GCSF	pSTAT3	HSC
GCSF	pSTAT3	MPP
GMCSF	pSTAT5	MPP
GMCSF	pH3	Plasmacytoid DC
GMCSF	pSTAT5	CD11bmid Monocyte
GMCSF	pP38	CD11bmid Monocyte
GMCSF	pP38	CD11bhi Monocyte
GMCSF	pSTAT5	CD11bhi Monocyte
GMCSF	pBtk_Itk	Mature CD38lo B
GMCSF	pSTAT5	CD11b- Monocyte
GMCSF	pH3	CD11bhi Monocyte
GMCSF	pSTAT3	HSC
GMCSF	pSTAT5	Plasmacytoid DC
GMCSF	pBtk_Itk	HSC
GMCSF	pSTAT5	MEP
GMCSF	pCREB	Plasmacytoid DC
GMCSF	pH3	CD11b- Monocyte
GMCSF	pSTAT5	HSC
IFNa	pSTAT3	Plasmacytoid DC
IFNa	pSTAT5	Memory CD8+ T
IFNa	pSTAT5	Mature CD38mid B
IFNa	pSTAT5	Naive CD4+ T
IFNa	pSrcFK	CD11bmid Monocyte
IFNa	pSrcFK	CD11bhi Monocyte
IFNa	pP38	CD11bmid Monocyte
IFNa	pSTAT3	Pre-B II
IFNa	pSrcFK	CD11b- Monocyte
IFNa	pSTAT5	HSC
IFNa	pSTAT3	MPP
IFNa	pSTAT3	CMP
IFNa	pSTAT3	Mature CD38lo B
IFNa	pSTAT5	Mature CD38lo B
IFNa	pSTAT5	CMP
IFNa	pSTAT5	MEP
IFNa	pSTAT3	MEP
IFNa	pSTAT3	HSC
IFNa	pSTAT5	Naive CD8+ T
IFNa	pSTAT3	CD11bhi Monocyte
IFNa	pSrcFK	Pre-B II
IFNa	pSTAT3	Memory CD4+ T
IFNa	IkBalpha	MEP
