file_name	sample_id	condition	patient_id	stim_type	cluster
Marrow1_01_Basal1.fcs_spill_applied_CD11b- Monocyte.txt	M1_01_Basal1	unstim	marrow1	Basal1	CD11b- Monocyte
Marrow1_01_Basal1.fcs_spill_applied_CD11bhi Monocyte.txt	M1_01_Basal1	unstim	marrow1	Basal1	CD11bhi Monocyte
Marrow1_01_Basal1.fcs_spill_applied_CD11bmid Monocyte.txt	M1_01_Basal1	unstim	marrow1	Basal1	CD11bmid Monocyte
Marrow1_01_Basal1.fcs_spill_applied_CMP.txt	M1_01_Basal1	unstim	marrow1	Basal1	CMP
Marrow1_01_Basal1.fcs_spill_applied_Erythroblast.txt	M1_01_Basal1	unstim	marrow1	Basal1	Erythroblast
Marrow1_01_Basal1.fcs_spill_applied_GMP.txt	M1_01_Basal1	unstim	marrow1	Basal1	GMP
Marrow1_01_Basal1.fcs_spill_applied_HSC.txt	M1_01_Basal1	unstim	marrow1	Basal1	HSC
Marrow1_01_Basal1.fcs_spill_applied_Immature B.txt	M1_01_Basal1	unstim	marrow1	Basal1	Immature B
Marrow1_01_Basal1.fcs_spill_applied_Mature CD4+ T.txt	M1_01_Basal1	unstim	marrow1	Basal1	Memory CD4+ T
Marrow1_01_Basal1.fcs_spill_applied_Mature CD8+ T.txt	M1_01_Basal1	unstim	marrow1	Basal1	Memory CD8+ T
Marrow1_01_Basal1.fcs_spill_applied_Mature CD38lo B.txt	M1_01_Basal1	unstim	marrow1	Basal1	Mature CD38lo B
Marrow1_01_Basal1.fcs_spill_applied_Mature CD38mid B.txt	M1_01_Basal1	unstim	marrow1	Basal1	Mature CD38mid B
Marrow1_01_Basal1.fcs_spill_applied_Megakaryocyte.txt	M1_01_Basal1	unstim	marrow1	Basal1	Megakaryocyte
Marrow1_01_Basal1.fcs_spill_applied_MEP.txt	M1_01_Basal1	unstim	marrow1	Basal1	MEP
Marrow1_01_Basal1.fcs_spill_applied_MPP.txt	M1_01_Basal1	unstim	marrow1	Basal1	MPP
Marrow1_01_Basal1.fcs_spill_applied_Myelocyte.txt	M1_01_Basal1	unstim	marrow1	Basal1	Myelocyte
Marrow1_01_Basal1.fcs_spill_applied_Naive CD4+ T.txt	M1_01_Basal1	unstim	marrow1	Basal1	Naive CD4+ T
Marrow1_01_Basal1.fcs_spill_applied_Naive CD8+ T.txt	M1_01_Basal1	unstim	marrow1	Basal1	Naive CD8+ T
Marrow1_01_Basal1.fcs_spill_applied_NK.txt	M1_01_Basal1	unstim	marrow1	Basal1	NK
Marrow1_01_Basal1.fcs_spill_applied_Plasma cell.txt	M1_01_Basal1	unstim	marrow1	Basal1	Plasma cell
Marrow1_01_Basal1.fcs_spill_applied_Plasmacytoid DC.txt	M1_01_Basal1	unstim	marrow1	Basal1	Plasmacytoid DC
Marrow1_01_Basal1.fcs_spill_applied_Platelet.txt	M1_01_Basal1	unstim	marrow1	Basal1	Platelet
Marrow1_01_Basal1.fcs_spill_applied_Pre-B I.txt	M1_01_Basal1	unstim	marrow1	Basal1	Pre-B I
Marrow1_01_Basal1.fcs_spill_applied_Pre-B II.txt	M1_01_Basal1	unstim	marrow1	Basal1	Pre-B II
Marrow1_02_Basal2.fcs_spill_applied_CD11b- Monocyte.txt	M1_02_Basal2	unstim	marrow1	Basal2	CD11b- Monocyte
Marrow1_02_Basal2.fcs_spill_applied_CD11bhi Monocyte.txt	M1_02_Basal2	unstim	marrow1	Basal2	CD11bhi Monocyte
Marrow1_02_Basal2.fcs_spill_applied_CD11bmid Monocyte.txt	M1_02_Basal2	unstim	marrow1	Basal2	CD11bmid Monocyte
Marrow1_02_Basal2.fcs_spill_applied_CMP.txt	M1_02_Basal2	unstim	marrow1	Basal2	CMP
Marrow1_02_Basal2.fcs_spill_applied_Erythroblast.txt	M1_02_Basal2	unstim	marrow1	Basal2	Erythroblast
Marrow1_02_Basal2.fcs_spill_applied_GMP.txt	M1_02_Basal2	unstim	marrow1	Basal2	GMP
Marrow1_02_Basal2.fcs_spill_applied_HSC.txt	M1_02_Basal2	unstim	marrow1	Basal2	HSC
Marrow1_02_Basal2.fcs_spill_applied_Immature B.txt	M1_02_Basal2	unstim	marrow1	Basal2	Immature B
Marrow1_02_Basal2.fcs_spill_applied_Mature CD4+ T.txt	M1_02_Basal2	unstim	marrow1	Basal2	Memory CD4+ T
Marrow1_02_Basal2.fcs_spill_applied_Mature CD8+ T.txt	M1_02_Basal2	unstim	marrow1	Basal2	Memory CD8+ T
Marrow1_02_Basal2.fcs_spill_applied_Mature CD38lo B.txt	M1_02_Basal2	unstim	marrow1	Basal2	Mature CD38lo B
Marrow1_02_Basal2.fcs_spill_applied_Mature CD38mid B.txt	M1_02_Basal2	unstim	marrow1	Basal2	Mature CD38mid B
Marrow1_02_Basal2.fcs_spill_applied_Megakaryocyte.txt	M1_02_Basal2	unstim	marrow1	Basal2	Megakaryocyte
