stim_type	state_marker	cell_population	adj_p_val
PVO4	pSLP_76	CD11b- Monocytes	2.91E-04
TNFa	IkBalpha	CD11b- Monocytes	2.28E-03
LPS	IkBalpha	CD11b- Monocytes	5.42E-03
PVO4	pCrkL	CD11b- Monocytes	6.75E-03
PVO4	pERK1_2	CD11b- Monocytes	1.67E-03
PMAiono	pERK1_2	CD11b- Monocytes	7.78E-03
GCSF	pH3	CD11b- Monocytes	1.46E-02
Flt3L	pH3	CD11b- Monocytes	2.78E-03
PMAiono	pH3	CD11b- Monocytes	2.91E-04
TNFa	pH3	CD11b- Monocytes	3.40E-04
GMCSF	pH3	CD11b- Monocytes	5.87E-03
LPS	pH3	CD11b- Monocytes	7.14E-03
BCR	pH3	CD11b- Monocytes	7.31E-04
GCSF	pP38	CD11b- Monocytes	1.82E-02
LPS	pP38	CD11b- Monocytes	3.20E-03
TNFa	pP38	CD11b- Monocytes	4.23E-02
PVO4	pP38	CD11b- Monocytes	6.66E-05
PVO4	pPLCgamma2	CD11b- Monocytes	5.00E-04
PMAiono	pS6	CD11b- Monocytes	1.03E-02
TNFa	pS6	CD11b- Monocytes	1.23E-02
PVO4	pSHP2	CD11b- Monocytes	2.62E-03
IL3	pSrcFK	CD11b- Monocytes	1.33E-02
IFNad	pSrcFK	CD11b- Monocytes	1.81E-02
SCF	pSrcFK	CD11b- Monocytes	2.23E-02
TNFa	pSrcFK	CD11b- Monocytes	2.95E-02
PVO4	pSrcFK	CD11b- Monocytes	6.21E-05
SCF	pSTAT3	CD11b- Monocytes	2.52E-03
PVO4	pSTAT3	CD11b- Monocytes	3.45E-03
GCSF	pSTAT3	CD11b- Monocytes	3.94E-03
IFNad	pSTAT3	CD11b- Monocytes	7.39E-03
GMCSF	pSTAT5	CD11b- Monocytes	2.79E-03
PVO4	pSTAT5	CD11b- Monocytes	4.79E-03
TNFa	IkBalpha	CD11bhi Monocytes	1.23E-04
LPS	IkBalpha	CD11bhi Monocytes	1.37E-04
PMAiono	IkBalpha	CD11bhi Monocytes	4.84E-02
PVO4	pCrkL	CD11bhi Monocytes	1.01E-02
PMAiono	pERK1_2	CD11bhi Monocytes	2.17E-02
TNFa	pH3	CD11bhi Monocytes	2.23E-02
GMCSF	pH3	CD11bhi Monocytes	2.82E-02
PMAiono	pH3	CD11bhi Monocytes	4.76E-03
BCR	pH3	CD11bhi Monocytes	7.99E-03
GMCSF	pP38	CD11bhi Monocytes	2.32E-02
TNFa	pP38	CD11bhi Monocytes	2.78E-02
PVO4	pP38	CD11bhi Monocytes	4.28E-05
PMAiono	pP38	CD11bhi Monocytes	5.46E-03
GCSF	pP38	CD11bhi Monocytes	5.50E-03
LPS	pP38	CD11bhi Monocytes	5.69E-04
PVO4	pPLCgamma2	CD11bhi Monocytes	1.16E-02
PVO4	pSHP2	CD11bhi Monocytes	1.83E-02
PVO4	pSLP_76	CD11bhi Monocytes	2.81E-03
SCF	pSrcFK	CD11bhi Monocytes	1.60E-02
IFNad	pSrcFK	CD11bhi Monocytes	1.75E-02
IL3	pSrcFK	CD11bhi Monocytes	1.86E-02
GCSF	pSrcFK	CD11bhi Monocytes	3.63E-02
TNFa	pSrcFK	CD11bhi Monocytes	4.87E-02
PVO4	pSrcFK	CD11bhi Monocytes	6.66E-05
PMAiono	pSrcFK	CD11bhi Monocytes	8.36E-04
GCSF	pSTAT3	CD11bhi Monocytes	1.39E-03
SCF	pSTAT3	CD11bhi Monocytes	2.44E-03
IFNad	pSTAT3	CD11bhi Monocytes	3.12E-03
PVO4	pSTAT3	CD11bhi Monocytes	8.73E-03
GMCSF	pSTAT5	CD11bhi Monocytes	2.40E-03
PVO4	pSTAT5	CD11bhi Monocytes	4.24E-02
PVO4	IkBalpha	CD11bmid Monocytes	2.83E-02
TNFa	IkBalpha	CD11bmid Monocytes	4.30E-04
LPS	IkBalpha	CD11bmid Monocytes	5.72E-04
PVO4	pCrkL	CD11bmid Monocytes	1.33E-03
PMAiono	pERK1_2	CD11bmid Monocytes	1.50E-02
PVO4	pERK1_2	CD11bmid Monocytes	2.46E-03
TNFa	pH3	CD11bmid Monocytes	1.34E-02
PMAiono	pH3	CD11bmid Monocytes	1.86E-03
LPS	pH3	CD11bmid Monocytes	4.03E-02
BCR	pH3	CD11bmid Monocytes	4.65E-03
PVO4	pP38	CD11bmid Monocytes	1.37E-06
IFNad	pP38	CD11bmid Monocytes	1.76E-02
TPO	pP38	CD11bmid Monocytes	1.81E-02
PMAiono	pP38	CD11bmid Monocytes	1.90E-03
SCF	pP38	CD11bmid Monocytes	1.98E-02
GMCSF	pP38	CD11bmid Monocytes	2.27E-02
BCR	pP38	CD11bmid Monocytes	2.46E-03
TNFa	pP38	CD11bmid Monocytes	4.60E-03
GCSF	pP38	CD11bmid Monocytes	5.15E-04
IL3	pP38	CD11bmid Monocytes	6.09E-03
LPS	pP38	CD11bmid Monocytes	6.28E-05
PVO4	pPLCgamma2	CD11bmid Monocytes	9.18E-04
